2281,18
2292,27
2323,58
2326,28
2358,41
2324,99
2307,84
2343,13
2328,70
2295,14
2302,21
2340,34
2377,15
2368,50
2364,93
2380,25
2413,53
2374,23
2382,17
2381,00
2392,09
2376,87
2382,78
2383,97
2353,17
2296,90
2264,07
2285,82
2274,69
2237,36
2233,63
2214,06
2221,82
2244,02
2248,33
2254,47
2253,64
2239,30
2219,88
2175,96
2209,10
2214,45
2225,41
2201,88
2234,82
2235,33
2223,84
2252,57
2281,45
2296,97
2283,70
2229,87
2238,38
2242,55
2200,03
2189,66
2213,24
2200,98
2217,41
2232,98
2254,51
2253,96
2191,25
2210,26
2212,04
2256,01
2251,02
2248,52
2192,79
2188,30
2215,36
2184,33
2173,76
2179,66
2154,79
2132,40
2083,65
2086,54
2089,61
2076,12
2065,14
2079,10
2056,83
2051,49
2084,05
2080,40
2079,15
2013,17
1991,36
2006,01
2015,47
2005,65
2015,28
2025,25
2015,89
2022,95
2030,64
2023,64
2009,19
1998,76
1999,93
1989,64
1956,72
1947,92
1946,32
1932,75
1936,72
1933,60
1943,73
1927,90
1940,46
1924,67
1918,54
1911,16
1934,87
1919,49
1882,58
1899,76
1921,08
1889,51
1876,56
1845,66
1783,57
1783,94
1798,22
1780,04
1776,30
1796,30
1807,27
1796,63
1775,66
1756,35
1725,74
1742,39
1758,54
1754,02
1753,86
1796,75
1790,66
1783,22
1761,79
1758,22
1767,37
1765,62
1814,66
1817,79
1795,33
1779,73
1785,59
1782,79
1752,25
1748,99
1744,53
1721,21
1714,20
1719,64
1727,55
1760,43
1757,04
1765,95
1751,72
1761,90
1762,23
1754,04
1725,44
1709,51
1730,45
1734,59
1732,81
1740,05
1762,48
1776,22
1758,47
1755,59
1749,78
1734,26
1745,97
1736,68
1727,69
1731,37
1754,12
1793,48
1810,02
1790,83
1788,02
1767,55
1761,68
1793,56
1798,23
1777,35
1775,90
1781,68
1786,32
1790,60
1800,34
1800,17
1821,01
1824,40
1846,86
1857,70
1864,70
1852,54
1847,15
1837,05
1825,45
1820,24
1790,09
1803,63
1762,12
1759,74
1788,51
1797,63
1803,96
1814,75
1792,97
1803,68
1800,41
1792,47
1788,12
1759,41
1745,34
1744,15
1754,38
1745,43
1705,43
1713,51
1689,92
1715,95
1724,50
1744,56
1750,69
1756,20
1751,81
1732,19
1769,67
1853,71
1823,03
1802,61
1793,83
1754,45
1733,48
1772,91
1762,61
1780,01
1782,02
1814,14
1843,85
1832,79
1797,27
1793,43
1762,28
1759,49
1808,24
1841,79
1839,22
1849,27
1831,15
1818,97
1806,38
1799,90
1841,84
1846,50
1853,78
1815,38
1816,09
1818,02
1825,17
1848,45
1852,71
1837,71
1865,25
1899,72
1896,64
1897,98
1892,48
1916,35
1925,34
1943,03
1950,38
1962,88
1964,84
1946,34
1939,95
1951,75
1944,36
1907,72
1914,22
1919,42
1905,10
1919,59
1933,84
1986,14
1973,24
1997,69
1999,93
1953,84
1936,19
1935,61
1962,98
1952,63
1961,97
1944,21
1905,69
1906,08
1913,83
1910,87
1887,31
1878,59
1876,49
1895,41
1873,51
1877,15
1825,15
1825,07
1824,08
1844,57
1838,17
1818,37
1844,96
1859,73
1841,06
1853,76
1847,95
1783,93
1787,98
1765,53
1758,93
1760,99
1767,45
1769,71
1790,87
1788,65
1739,08
1731,64
1777,54
1780,25
1755,39
1728,84
1713,36
1729,62
1727,22
1683,81
1674,57
1692,52
1679,22
1734,87
1776,96
1772,48
1750,51
1703,78
1725,14
1745,46
1792,01
1804,42
1859,15
1893,32
1876,33
1879,75
1873,78
1866,19
1858,87
1840,57
1803,68
1771,99
1754,74
1757,37
1798,86
1773,21
1814,88
1864,92
1868,24
1867,96
1886,50
1923,94
1925,72
1936,05
1963,89
1943,30
1943,99
1982,57
2021,99
2009,73
2023,98
2007,62
1971,43
1978,87
2013,67
2021,92
2012,97
2019,78
2041,24
2063,08
2061,38
2077,09
2060,03
2059,34
2105,63
2113,06
2110,74
2107,43
2106,27
2105,65
2116,81
2111,04
2121,94
2136,42
2118,97
2123,43
2133,56
2143,28
2126,48
2110,39
2102,87
2088,27
2036,32
2049,93
2066,37
2043,00
2059,41
2091,73
2082,95
2106,80
2137,88
2178,27
2168,19
2199,46
2181,80
2185,88
2183,05
2185,46
2184,96
2142,53
2135,15
2132,36
2146,47
2155,07
2107,58
2115,75
2163,71
2145,12
2117,83
2074,49
2070,56
2056,38
2179,73
2200,86
2192,14
2169,59
2174,11
2198,22
2224,74
2200,08
2219,57
2222,25
2196,78
2196,22
2258,62
2227,98
2230,28
2227,51
2188,92
2212,02
2194,24
2189,08
2187,67
2200,84
2185,83
2249,67
2244,63
2285,03
2298,54
2257,62
2259,98
2269,00
2270,84
2230,65
2216,39
2218,64
2272,09
2278,17
2294,37
2293,03
2317,84
2291,23
2333,82
2354,74
2348,97
2341,26
2350,09
2299,35
2334,36
2321,39
2356,77
2358,03
2358,73
2383,87
2384,49
2338,65
2354,26
2365,58
2388,93
2408,73
2437,81
2441,15
2460,74
2473,17
2516,76
2524,83
2523,59
2514,84
2513,58
2540,26
2542,65
2546,78
2522,61
2524,54
2523,09
2514,63
2521,57
2548,98
2549,40
2519,20
2522,78
2520,38
2509,50
2505,34
2503,65
2475,33
2434,89
2442,47
2443,62
2441,89
2424,82
2420,78
2400,65
2392,70
2395,94
2396,44
2373,18
2376,39
2395,40
2412,32
2414,39
2407,70
2384,78
2344,36
2330,39
2329,81
2325,12
2312,96
2344,12
2345,93
2355,75
2338,00
2323,09
2358,25
2367,10
2361,01
2354,65
2363,61
2365,58
2348,94
2348,06
2346,71
2360,31
2362,00
2346,95
2338,37
2323,50
2340,12
2339,79
2354,47
2341,58
2341,68
2335,42
2330,14
2341,00
2340,77
2319,18
2309,86
2307,29
2319,59
2319,45
2287,86
2242,42
2255,12
2252,33
2265,21
2336,66
2367,65
2330,04
2337,21
2361,48
2307,46
2264,75
2309,39
2315,94
2302,59
2323,04
2321,83
2310,88
2330,83
2288,70
2271,27
2321,57
2360,00
2379,60
2371,43
2398,03
2431,89
2438,42
2417,21
2445,40
2446,32
2417,11
2416,93
2428,35
2410,27
2410,65
2418,26
2396,52
2421,67
2431,23
2418,78
2418,40
2393,36
2402,02
2407,05
2417,45
2435,48
2441,56
2462,33
2462,51
2463,68
2441,71
2449,49
2456,73
2437,72
2426,20
2433,84
2429,10
2423,29
2386,61
2401,13
2382,72
2381,76
2402,90
2394,22
2392,62
2424,95
2410,88
2436,39
2446,89
2444,06
2434,37
2462,60
2500,29
2485,51
2484,02
2469,68
2475,05
2485,29
2515,79
2539,60
2503,16
2515,27
2498,48
2489,77
2497,38
2501,58
2536,44
2542,88
2551,47
2541,42
2538,15
2513,96
2463,10
2443,14
2416,97
2421,40
2467,29
2468,76
2449,80
2439,03
2451,06
2447,99
2448,73
2415,76
2381,74
2349,48
2351,98
2315,65
2332,73
2362,27
2369,33
2361,56
2341,91
2320,85
2346,51
2390,99
2399,93
2406,32
2409,20
2402,93
2411,61
2390,31
2393,95
2403,13
2397,00
2388,34
2380,36
2372,05
2341,18
2343,39
2360,91
2378,88
2363,00
2375,52
2381,06
2404,83
2408,81
2399,63
2402,82
2421,10
2459,77
2475,89
2462,36
2464,39
2447,01
2476,39
2487,51
2499,32
2480,62
2498,70
2480,85
2462,12
2446,42
2440,24
2429,51
2448,33
2464,15
2471,98
2465,52
2464,43
2415,23
2410,16
2400,11
2392,89
2395,56
2421,49
2413,23
2412,71
2387,81
2403,89
2389,43
2389,30
2405,87
2432,06
2439,09
2451,35
2438,23
2429,80
2447,34
2453,48
2459,30
2433,91
2395,55
2407,32
2440,65
2464,12
2470,81
2461,76
2465,54
2453,35
2471,50
2449,49
2473,45
2462,77
2462,47
2433,74
2421,79
2424,59
2401,61
2361,78
2365,96
2374,37
2360,77
2379,45
2394,84
2341,98
2339,37
2369,49
2401,03
2396,97
2435,15
2445,41
2442,92
2389,89
2518,53
2467,90
2478,38
2507,06
2526,90
2487,72
2462,84
2486,13
2470,87
2481,23
2482,75
2489,67
2482,58
2443,71
2411,36
2420,94
2419,47
